Full Name,,Current Position,,Job Title,Company,Location,,Description
Rust,,Recruiter,,Recruiter,Spring,Spring,,Developers
Swift,,Talent Acquisition,,Talent Acquisition,PHP,Elk,,Jobs
Spring,,Talent,,Talent,Docker,Shell,,Hiring
Ruby,,Sourcer,,Sourcer,Shell,Swift,,Group
Julia,,lambda,,lambda,Swift,Ruby,,Liked by
Crystal,,,,,delphi,Rust,,Join to connect
Jenkins,,,,,lambda,Elk Grove,,
Haskell,,,,,Express,rancho cordova,,
Shell,,,,,Hudson,cocoa beach,,
Cassandra,,,,,,crystal lake,,
Hudson,,,,,,delphi,,
Maya,,,,,,Hudson,,
,,,,,,Express,,
